code,parent,name
1,,الموجودات
2,,المطلوبات
3,,الاستخدامات
4,,الموارد
5,,مراقبة مراكز الإنتاج
6,,مراقبة مراكز الخدمات الإنتاجية
7,,مراقبة مراكز الخدمات التسويقية
8,,مراقبة مراكز الخدمات الإدارية
9,,مراقبة مراكز العمليات الرأسمالية
11,1,الموجودات الثابتة
12,1,مشروعات تحت التنفيذ
13,1,المخزون
14,1,القروض الممنوحة
15,1,الاستثمارات المالية
16,1,المدينون
18,1,النقود
19,1,الحسابات المتقابلة المدينة
21,2,رأس المال
22,2,الاحتياطيات
23,2,التخصيصات
24,2,القروض المستلمة
25,2,المصارف الدائنة
26,2,الدائنون
28,2,حساب العمليات الجارية
29,2,الحسابات المتقابلة الدائنة
31,3,الرواتب والأجور
32,3,المستلزمات السلعية
33,3,المستلزمات الخدمية
34,3,مقاولات وخدمات
35,3,مشتريات البضائع والأراضي بغرض البيع
36,3,فوائد مدينة واستئجار الأراضي
37,3,الاندثار
38,3,المصروفات التحويلية
39,3,المصروفات الأخرى
41,4,إيراد نشاط الإنتاج السلعي
42,4,إيراد النشاط التجاري
43,4,إيراد النشاط الخدمي
44,4,إيراد التشغيل للغير
45,4,كلفة الموجودات المصنعة داخلياً
46,4,فوائد دائنة وإيجارات الأراضي
47,4,الإعانات
48,4,الإيرادات التحويلية
49,4,الإيرادات الأخرى
111,11,أراضي
1111,111,أراضي زراعية
11111,1111,كلفة الشراء
11112,1111,كلفة استصلاح الأراضي
111121,11112,أراضي الحدائق والمتنزهات
111122,11112,أراضي المشاتل
1112,111,أراضي بناء
1113,111,أراضي تجارية
1114,111,أراضي سكنية
1116,111,أراضي فضاء
1117,111,أراضي أخرى
112,11,مباني وإنشاءات وطرق
1121,112,مباني
11211,1121,مباني صناعية
11212,1121,مباني تجارية
11213,1121,مباني خدمية
11214,1121,مباني ترفيهية
11215,1121,مباني صحية
1122,112,مخازن وخزانات وسايلوات
1123,112,منشآت سكنية
1124,112,آبار ومناجم ومقالع
11241,1124,آبار
